                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9974,                0.51936,                0.97714,                0.96616,                0.94643,                0.98536,                0.71666,                0.98715,                 0.5251,                0.97453,             0.00066469,             0.00066469,             0.00066469
                      2,                 1.1098,                0.63076,                 1.0172,                0.95669,                0.91966,                0.97174,                0.67881,                 1.0749,                0.60252,                 1.0016,              0.0012655,              0.0012655,              0.0012655
                      3,                 1.1577,                0.68294,                 1.0389,                0.94316,                0.91002,                0.96363,                0.65711,                 1.1159,                0.64148,                  1.019,              0.0018002,              0.0018002,              0.0018002
                      4,                 1.1824,                0.69099,                 1.0507,                0.93786,                0.88747,                0.95595,                0.62652,                 1.2209,                0.67226,                 1.0526,               0.001703,               0.001703,               0.001703
                      5,                 1.1671,                0.68499,                  1.042,                0.94259,                0.90983,                0.96497,                0.65472,                 1.1086,                0.64349,                   1.03,               0.001703,               0.001703,               0.001703
                      6,                 1.1577,                0.66937,                 1.0405,                0.95073,                0.92245,                0.97356,                0.68193,                 1.0906,                0.60673,                   1.01,               0.001604,               0.001604,               0.001604
                      7,                 1.1482,                0.66177,                 1.0387,                0.95333,                0.92695,                0.97668,                0.68309,                 1.0581,                0.60236,                 1.0035,               0.001505,               0.001505,               0.001505
                      8,                 1.1224,                0.62796,                 1.0298,                0.96601,                 0.9262,                0.97368,                0.68099,                 1.0718,                0.59168,                 0.9967,               0.001406,               0.001406,               0.001406
                      9,                 1.0945,                0.60166,                 1.0099,                0.96273,                0.95008,                0.98391,                 0.7026,                 1.0444,                0.55973,                0.98023,               0.001307,               0.001307,               0.001307
                     10,                   1.08,                0.60067,                 1.0059,                0.96625,                0.94081,                0.98345,                0.71158,                 1.0119,                 0.5366,                0.96989,               0.001208,               0.001208,               0.001208
                     11,                   1.05,                0.56799,                0.99076,                0.96096,                0.95192,                0.98387,                0.70031,                 1.0361,                0.54699,                0.96997,               0.001109,               0.001109,               0.001109
                     12,                 1.0205,                0.54908,                0.97681,                0.96585,                0.95425,                0.98589,                0.72451,                 0.9772,                0.50204,                0.95775,                0.00101,                0.00101,                0.00101
                     13,                 1.0076,                0.53224,                0.97061,                0.96548,                0.95856,                0.98874,                0.73448,                0.94367,                 0.4976,                0.94726,               0.000911,               0.000911,               0.000911
                     14,                0.99646,                0.52364,                0.96988,                0.96614,                0.96093,                0.98866,                0.73117,                0.96516,                0.48668,                 0.9443,               0.000812,               0.000812,               0.000812
                     15,                0.96852,                0.49162,                0.95657,                0.97227,                0.95481,                 0.9884,                0.75006,                0.91657,                0.47442,                0.94292,               0.000713,               0.000713,               0.000713
                     16,                0.97044,                0.49441,                0.96343,                  0.975,                0.96204,                0.99021,                0.75564,                0.91151,                0.46013,                0.93464,               0.000614,               0.000614,               0.000614
                     17,                0.94995,                0.47648,                0.95561,                0.97723,                0.96468,                0.99133,                0.75437,                0.88951,                0.44582,                0.92992,               0.000515,               0.000515,               0.000515
                     18,                0.92506,                0.46707,                0.94527,                0.97596,                0.96106,                0.99155,                0.77391,                0.87346,                0.43332,                0.92225,               0.000416,               0.000416,               0.000416
                     19,                 0.9145,                 0.4535,                 0.9403,                0.97493,                0.96744,                0.99168,                0.77378,                0.85643,                0.42527,                0.91543,               0.000317,               0.000317,               0.000317
                     20,                0.89708,                0.44815,                0.93425,                0.97833,                0.97297,                0.99282,                0.78037,                0.84442,                0.41254,                0.91443,               0.000218,               0.000218,               0.000218
